,instance_id,input.text,predicted_text_0,stats.quasi_exact_match_0,num_words_0,predicted_text_1,stats.quasi_exact_match_1,num_words_1,predicted_text_2,stats.quasi_exact_match_2,num_words_2,predicted_text_3,stats.quasi_exact_match_3,num_words_3,predicted_text_4,stats.quasi_exact_match_4,num_words_4,predicted_text_5,stats.quasi_exact_match_5,num_words_5,predicted_text_6,stats.quasi_exact_match_6,num_words_6,predicted_text_7,stats.quasi_exact_match_7,num_words_7,predicted_text_8,stats.quasi_exact_match_8,num_words_8,predicted_text_9,stats.quasi_exact_match_9,num_words_9,predicted_text_10,stats.quasi_exact_match_10,num_words_10,predicted_text_11,stats.quasi_exact_match_11,num_words_11,predicted_text_12,stats.quasi_exact_match_12,num_words_12,predicted_text_13,stats.quasi_exact_match_13,num_words_13,predicted_text_14,stats.quasi_exact_match_14,num_words_14,predicted_text_15,stats.quasi_exact_match_15,num_words_15,predicted_text_16,stats.quasi_exact_match_16,num_words_16,predicted_text_17,stats.quasi_exact_match_17,num_words_17,predicted_text_18,stats.quasi_exact_match_18,num_words_18,predicted_text_19,stats.quasi_exact_match_19,num_words_19,predicted_text_20,stats.quasi_exact_match_20,num_words_20,predicted_text_21,stats.quasi_exact_match_21,num_words_21,predicted_text_22,stats.quasi_exact_match_22,num_words_22,predicted_text_23,stats.quasi_exact_match_23,num_words_23,predicted_text_24,stats.quasi_exact_match_24,num_words_24,predicted_text_25,stats.quasi_exact_match_25,num_words_25,predicted_text_26,stats.quasi_exact_match_26,num_words_26,predicted_text_27,stats.quasi_exact_match_27,num_words_27,predicted_text_28,stats.quasi_exact_match_28,num_words_28,predicted_text_29,stats.quasi_exact_match_29,num_words_29,std,agreement_level
39,id49,"Description: The mark ""Netflix"" for an online streaming service.", fanciful,0.0,10,fanciful,0.0,10,arbitrary,0.0,10,arbitrary,0.0,10, fanciful,0.0,10,arbitrary,0.0,10, fanciful,0.0,10,arbitrary,0.0,10, arbitrary ,0.0,10, arbitrary,0.0,10,fanciful,0.0,10,arbitrary,0.0,10,fanciful,0.0,10, fanciful,0.0,10, arbitrary,0.0,10, fanciful,0.0,10, fanciful,0.0,10, arbitrary,0.0,10, arbitrary,0.0,10, descriptive,0.0,10,arbitrary,0.0,10,arbitrary,0.0,10, fanciful,0.0,10,fanciful,0.0,10,fanciful,0.0,10, arbitrary,0.0,10,fanciful,0.0,10,fanciful,0.0,10, fanciful,0.0,10, fanciful,0.0,10,0.0,
36,id46,"Description: The mark ""Airbus"" for an airplane manufacturer.", arbitrary,0.0,9,fanciful,0.0,9,arbitrary,0.0,9,arbitrary,0.0,9, arbitrary,0.0,9,arbitrary,0.0,9, generic,0.0,9,arbitrary,0.0,9, arbitrary ,0.0,9, arbitrary,0.0,9,fanciful,0.0,9,arbitrary,0.0,9,suggestive,1.0,9, arbitrary,0.0,9, arbitrary,0.0,9, arbitrary,0.0,9, arbitrary,0.0,9, arbitrary,0.0,9, arbitrary,0.0,9, arbitrary,0.0,9,arbitrary,0.0,9,fanciful,0.0,9, arbitrary,0.0,9,arbitrary,0.0,9,fanciful,0.0,9, arbitrary,0.0,9,Type: suggestive,0.0,10,arbitrary,0.0,9, arbitrary,0.0,9, arbitrary,0.0,9,0.1825741858350553,Medium
38,id48,"Description: The mark ""Microsoft"" for small computers.", arbitrary,0.0,8,arbitrary,0.0,8,fanciful,0.0,8,arbitrary,0.0,8, arbitrary,0.0,8,arbitrary,0.0,8, arbitrary,0.0,8,arbitrary,0.0,8, arbitrary ,0.0,8, arbitrary,0.0,8,fanciful,0.0,8,arbitrary,0.0,8,suggestive,1.0,8, arbitrary,0.0,8, arbitrary,0.0,8, arbitrary,0.0,8, arbitrary,0.0,8, fanciful,0.0,8, arbitrary,0.0,8, arbitrary,0.0,8,arbitrary,0.0,8,arbitrary,0.0,8, arbitrary,0.0,8,arbitrary,0.0,8,fanciful,0.0,8, arbitrary,0.0,8,Type: fanciful,0.0,9,arbitrary,0.0,8, fanciful,0.0,8, arbitrary,0.0,8,0.1825741858350553,Medium
54,id62,"Description: The mark ""Apple"" for a computer manufacturer.", arbitrary,1.0,9,arbitrary,1.0,9,arbitrary,1.0,9,arbitrary,1.0,9, arbitrary,1.0,9,arbitrary,1.0,9, arbitrary,1.0,9,arbitrary,1.0,9, arbitrary ,1.0,9, arbitrary,1.0,9,arbitrary,1.0,9,arbitrary,1.0,9,arbitrary,1.0,9, arbitrary,1.0,9, arbitrary,1.0,9, arbitrary,1.0,9, arbitrary,1.0,9, arbitrary,1.0,9, arbitrary,1.0,9, arbitrary,1.0,9,arbitrary,1.0,9,arbitrary,1.0,9, arbitrary,1.0,9,arbitrary,1.0,9,arbitrary,1.0,9, arbitrary,1.0,9,Type: arbitrary,0.0,10,arbitrary,1.0,9, fanciful,0.0,9, arbitrary,1.0,9,0.2537081317024625,Medium
35,id45,"Description: The mark ""Jaguar"" for cars.", fanciful,0.0,7,arbitrary,0.0,7,arbitrary,0.0,7,arbitrary,0.0,7, arbitrary,0.0,7,suggestive,1.0,7, descriptive,0.0,7,arbitrary,0.0,7, suggestive,1.0,7, suggestive,1.0,7,arbitrary,0.0,7,arbitrary,0.0,7,arbitrary,0.0,7, arbitrary,0.0,7, arbitrary,0.0,7, arbitrary,0.0,7, arbitrary,0.0,7, arbitrary,0.0,7, arbitrary,0.0,7, descriptive,0.0,7,arbitrary,0.0,7,arbitrary,0.0,7, arbitrary,0.0,7,arbitrary,0.0,7,arbitrary,0.0,7, arbitrary,0.0,7,Type: arbitrary,0.0,8,arbitrary,0.0,7, fanciful,0.0,7, arbitrary,0.0,7,0.30512857662936443,Low
11,id21,"Description: The mark ""Pictures"" for a photography service.", descriptive,0.0,9,descriptive,0.0,9,descriptive,0.0,9,descriptive,0.0,9, generic,1.0,9,descriptive,0.0,9, descriptive,0.0,9,generic,1.0,9, suggestive ,0.0,9, suggestive,0.0,9,descriptive,0.0,9,descriptive,0.0,9,descriptive,0.0,9, descriptive,0.0,9, descriptive,0.0,9, generic,1.0,9, descriptive,0.0,9, descriptive,0.0,9, arbitrary,0.0,9, descriptive,0.0,9,arbitrary,0.0,9,descriptive,0.0,9, descriptive,0.0,9,descriptive,0.0,9,descriptive,0.0,9, fanciful,0.0,9,Type: generic,0.0,10,descriptive,0.0,9, suggestive,0.0,9, descriptive,0.0,9,0.30512857662936455,Low
48,id57,"Description: The mark ""Penguin Appliances"" for air conditioning manufacturer.", arbitrary,0.0,10,arbitrary,0.0,10,arbitrary,0.0,10,arbitrary,0.0,10, arbitrary,0.0,10,suggestive,1.0,10, descriptive,0.0,10,arbitrary,0.0,10, arbitrary ,0.0,10, suggestive,1.0,10,arbitrary,0.0,10,arbitrary,0.0,10,arbitrary,0.0,10, fanciful,0.0,10, descriptive,0.0,10, arbitrary,0.0,10, fanciful,0.0,10, descriptive,0.0,10, arbitrary,0.0,10, descriptive,0.0,10,arbitrary,0.0,10,arbitrary,0.0,10, arbitrary,0.0,10,fanciful,0.0,10,fanciful,0.0,10, arbitrary,0.0,10,Type: arbitrary,0.0,11,suggestive,1.0,10, arbitrary,0.0,10, arbitrary,0.0,10,0.30512857662936466,Low
49,id58,"Description: The mark ""7-Eleven"" for a convenience store that opens at 7am and closes at 11pm.", arbitrary,0.0,17,descriptive,0.0,17,descriptive,0.0,17,arbitrary,0.0,17, arbitrary,0.0,17,suggestive,1.0,17, descriptive,0.0,17,arbitrary,0.0,17, arbitrary ,0.0,17, suggestive,1.0,17,arbitrary,0.0,17,descriptive,0.0,17,descriptive,0.0,17, arbitrary,0.0,17, descriptive,0.0,17, descriptive,0.0,17, arbitrary,0.0,17, arbitrary,0.0,17, descriptive,0.0,17, descriptive,0.0,17,arbitrary,0.0,17,descriptive,0.0,17, descriptive,0.0,17,descriptive,0.0,17,arbitrary,0.0,17, arbitrary,0.0,17,descriptive,0.0,17,suggestive,1.0,17, suggestive,1.0,17, arbitrary,0.0,17,0.34574590364176033,Low
2,id12,"Description: The mark ""H2O"" for bottled water.", generic,1.0,8,descriptive,0.0,8,arbitrary,0.0,8,arbitrary,0.0,8, generic,1.0,8,arbitrary,0.0,8, arbitrary,0.0,8,descriptive,0.0,8, arbitrary ,0.0,8, arbitrary,0.0,8,arbitrary,0.0,8,arbitrary,0.0,8,descriptive,0.0,8, arbitrary,0.0,8, descriptive,0.0,8, suggestive,0.0,8, fanciful,0.0,8, descriptive,0.0,8, generic,1.0,8, arbitrary,0.0,8,arbitrary,0.0,8,descriptive,0.0,8, suggestive,0.0,8,suggestive,0.0,8,generic,1.0,8, fanciful,0.0,8,Type: generic,0.0,9,arbitrary,0.0,8, suggestive,0.0,8, arbitrary,0.0,8,0.3457459036417604,Low
19,id29,"Description: The mark ""Sharp"" for televisions.", suggestive,0.0,7,suggestive,0.0,7,suggestive,0.0,7,arbitrary,0.0,7, arbitrary,0.0,7,arbitrary,0.0,7, descriptive,1.0,7,arbitrary,0.0,7, suggestive ,0.0,7, suggestive,0.0,7,arbitrary,0.0,7,arbitrary,0.0,7,suggestive,0.0,7, arbitrary,0.0,7, descriptive,1.0,7, suggestive,0.0,7, descriptive,1.0,7, suggestive,0.0,7, arbitrary,0.0,7, descriptive,1.0,7,arbitrary,0.0,7,suggestive,0.0,7, suggestive,0.0,7,suggestive,0.0,7,suggestive,0.0,7, arbitrary,0.0,7,suggestive,0.0,7,arbitrary,0.0,7, suggestive,0.0,7, suggestive,0.0,7,0.3457459036417605,Low
43,id52,"Description: The mark ""KitchenAid"" for baking appliances.", arbitrary,0.0,8,fanciful,0.0,8,arbitrary,0.0,8,arbitrary,0.0,8, arbitrary,0.0,8,suggestive,1.0,8, descriptive,0.0,8,arbitrary,0.0,8, suggestive/fanciful ,0.0,8, suggestive,1.0,8,fanciful,0.0,8,arbitrary,0.0,8,descriptive,0.0,8, fanciful,0.0,8, descriptive,0.0,8, suggestive,1.0,8, descriptive,0.0,8, arbitrary,0.0,8, arbitrary,0.0,8, descriptive,0.0,8,arbitrary,0.0,8,fanciful,0.0,8, suggestive,1.0,8,arbitrary,0.0,8,fanciful,0.0,8, arbitrary,0.0,8,Type: suggestive,0.0,9,arbitrary,0.0,8, arbitrary,0.0,8, fanciful,0.0,8,0.3457459036417605,Low
0,id10,"Description: The mark ""Mask"" for cloth that you wear on your face to filter air.", suggestive,0.0,16,descriptive,0.0,16,descriptive,0.0,16,arbitrary,0.0,16, generic,1.0,16,descriptive,0.0,16, descriptive,0.0,16,descriptive,0.0,16, suggestive,0.0,16, suggestive,0.0,16,generic,1.0,16,descriptive,0.0,16,descriptive,0.0,16, descriptive,0.0,16, descriptive,0.0,16, generic,1.0,16, descriptive,0.0,16, descriptive,0.0,16, arbitrary,0.0,16, arbitrary,0.0,16,arbitrary,0.0,16,descriptive,0.0,16, generic,1.0,16,descriptive,0.0,16,descriptive,0.0,16, arbitrary,0.0,16,Type: generic,0.0,17,suggestive,0.0,16, fanciful,0.0,16, descriptive,0.0,16,0.3457459036417605,Low
20,id30,"Description: The mark ""Holiday Inn"" for hotel services.", suggestive,0.0,9,arbitrary,0.0,9,arbitrary,0.0,9,arbitrary,0.0,9, arbitrary,0.0,9,suggestive,0.0,9, descriptive,1.0,9,arbitrary,0.0,9, arbitrary ,0.0,9, suggestive,0.0,9,fanciful,0.0,9,arbitrary,0.0,9,arbitrary,0.0,9, arbitrary,0.0,9, descriptive,1.0,9, arbitrary,0.0,9, descriptive,1.0,9, arbitrary,0.0,9, generic,0.0,9, descriptive,1.0,9,arbitrary,0.0,9,arbitrary,0.0,9, suggestive,0.0,9,suggestive,0.0,9,suggestive,0.0,9, arbitrary,0.0,9,Type: arbitrary,0.0,10,suggestive,0.0,9, fanciful,0.0,9, arbitrary,0.0,9,0.3457459036417605,Low
61,id69,"Description: The mark ""Cheetah"" for a web browser.", arbitrary,0.0,9,arbitrary,0.0,9,suggestive,1.0,9,arbitrary,0.0,9, arbitrary,0.0,9,suggestive,1.0,9, fanciful,0.0,9,arbitrary,0.0,9, suggestive ,1.0,9, suggestive,1.0,9,arbitrary,0.0,9,arbitrary,0.0,9,arbitrary,0.0,9, arbitrary,0.0,9, arbitrary,0.0,9, arbitrary,0.0,9, fanciful,0.0,9, arbitrary,0.0,9, arbitrary,0.0,9, descriptive,0.0,9,arbitrary,0.0,9,arbitrary,0.0,9, arbitrary,0.0,9,suggestive,1.0,9,fanciful,0.0,9, arbitrary,0.0,9,Type: arbitrary,0.0,10,arbitrary,0.0,9, fanciful,0.0,9, arbitrary,0.0,9,0.3790490217894516,Low
4,id14,"Description: The mark ""Monitor"" for a digital display.", suggestive,0.0,9,descriptive,0.0,9,generic,1.0,9,arbitrary,0.0,9, suggestive,0.0,9,generic,1.0,9, arbitrary,0.0,9,descriptive,0.0,9, arbitrary ,0.0,9, suggestive,0.0,9,generic,1.0,9,descriptive,0.0,9,descriptive,0.0,9, descriptive,0.0,9, descriptive,0.0,9, descriptive,0.0,9, descriptive,0.0,9, descriptive,0.0,9, generic,1.0,9, descriptive,0.0,9,arbitrary,0.0,9,descriptive,0.0,9, generic,1.0,9,descriptive,0.0,9,descriptive,0.0,9, arbitrary,0.0,9,descriptive,0.0,9,suggestive,0.0,9, arbitrary,0.0,9, arbitrary,0.0,9,0.3790490217894516,Low
46,id55,"Description: The mark ""CarMax"" for a used car dealership.", suggestive,1.0,10,fanciful,0.0,10,arbitrary,0.0,10,arbitrary,0.0,10, arbitrary,0.0,10,suggestive,1.0,10, descriptive,0.0,10,arbitrary,0.0,10, arbitrary ,0.0,10, suggestive,1.0,10,fanciful,0.0,10,arbitrary,0.0,10,suggestive,1.0,10, arbitrary,0.0,10, descriptive,0.0,10, arbitrary,0.0,10, descriptive,0.0,10, arbitrary,0.0,10, arbitrary,0.0,10, descriptive,0.0,10,arbitrary,0.0,10,suggestive,1.0,10, arbitrary,0.0,10,arbitrary,0.0,10,fanciful,0.0,10, arbitrary,0.0,10,Type: suggestive,0.0,11,suggestive,1.0,10, fanciful,0.0,10, arbitrary,0.0,10,0.4068381021724863,Low
50,id59,"Description: The mark ""Seventeen"" for magazines targeted at teenagers.", arbitrary,0.0,10,arbitrary,0.0,10,arbitrary,0.0,10,arbitrary,0.0,10, arbitrary,0.0,10,suggestive,1.0,10, descriptive,0.0,10,arbitrary,0.0,10, suggestive,1.0,10, arbitrary,0.0,10,arbitrary,0.0,10,arbitrary,0.0,10,suggestive,1.0,10, descriptive,0.0,10, descriptive,0.0,10, descriptive,0.0,10, descriptive,0.0,10, arbitrary,0.0,10, arbitrary,0.0,10, descriptive,0.0,10,arbitrary,0.0,10,arbitrary,0.0,10, suggestive,1.0,10,suggestive,1.0,10,arbitrary,0.0,10, arbitrary,0.0,10,Type: suggestive,0.0,11,arbitrary,0.0,10, suggestive,1.0,10, arbitrary,0.0,10,0.4068381021724863,Low
