,instance_id,input.text,references,predicted_text_0,stats.f1_score_0,predicted_text_1,stats.f1_score_1,predicted_text_2,stats.f1_score_2,predicted_text_3,stats.f1_score_3,predicted_text_4,stats.f1_score_4,predicted_text_5,stats.f1_score_5,predicted_text_6,stats.f1_score_6,predicted_text_7,stats.f1_score_7,predicted_text_8,stats.f1_score_8,predicted_text_9,stats.f1_score_9,predicted_text_10,stats.f1_score_10,predicted_text_11,stats.f1_score_11,predicted_text_12,stats.f1_score_12,predicted_text_13,stats.f1_score_13,predicted_text_14,stats.f1_score_14,predicted_text_15,stats.f1_score_15,predicted_text_16,stats.f1_score_16,predicted_text_17,stats.f1_score_17,predicted_text_18,stats.f1_score_18,predicted_text_19,stats.f1_score_19,predicted_text_20,stats.f1_score_20,predicted_text_21,stats.f1_score_21,predicted_text_22,stats.f1_score_22,predicted_text_23,stats.f1_score_23,predicted_text_24,stats.f1_score_24,predicted_text_25,stats.f1_score_25,predicted_text_26,stats.f1_score_26,predicted_text_27,stats.f1_score_27,predicted_text_28,stats.f1_score_28,predicted_text_29,stats.f1_score_29,std,agreement_level
643,id3490,What us state forms the western boundary of montana?,Idaho (correct), Idaho,1.0, idaho,1.0, Idaho,1.0,Idaho,1.0,Idaho,1.0,Idaho,1.0,Idaho,1.0,Idaho,1.0, Idaho,1.0, Idaho,1.0, Idaho,1.0,Idaho,1.0, Idaho,1.0,Idaho,1.0, Idaho,1.0, Idaho,1.0, Idaho,1.0,Idaho,1.0,Idaho,1.0, Idaho,1.0, Idaho,1.0,Idaho,1.0, Idaho,1.0,Idaho,1.0, Idaho,1.0,Idaho,1.0, Idaho,1.0, Idaho,1.0,Idaho,1.0,Idaho,1.0,0.0,
383,id2442,Who abandoned traditional harmony and created the twelve-tone system for composition?,Arnold Schoenberg (correct), Arnold Schoenberg,1.0, Arnold Schoenberg,1.0, Arnold Schoenberg,1.0,Arnold Schoenberg,1.0,Arnold Schoenberg,1.0,Arnold Schoenberg,1.0,Arnold Schoenberg,1.0,Arnold Schoenberg,1.0, Arnold Schoenberg,1.0, Arnold Schoenberg,1.0, Arnold Schoenberg,1.0,Arnold Schoenberg,1.0, Arnold Schoenberg,1.0,Arnold Schoenberg,1.0, Arnold Schoenberg,1.0, Arnold Schoenberg,1.0, Arnold Schoenberg,1.0,Arnold Schoenberg,1.0,Arnold Schoenberg,1.0, Arnold Schoenberg,1.0, Arnold Schoenberg,1.0,Arnold Schoenberg,1.0, Arnold Schoenberg,1.0,Arnold Schoenberg,1.0, Arnold Schoenberg,1.0,Arnold Schoenberg,1.0, Arnold Schoenberg,1.0, Arnold Schoenberg,1.0,Arnold Schoenberg,1.0,Arnold Schoenberg,1.0,0.0,
219,id1812,The sport psychology sub-field of performance enhancement deals primarily with?,Arousal regulation (correct), Improving mental and emotional factors that affect an athlete's performance.,0.0, The sport psychology sub-field of performance enhancement deals primarily with the enhancement of performance in sports.,0.0, The psychology of sport,0.0,Athletes,0.0,Improving Athletic Performance,0.0,Improving athletic performance,0.0,improving athletic performance,0.0,Athletes,0.0, psychological factors that can influence performance,0.0, How to improve performance in competitive sports,0.0, Motivation,0.0,Improving performance,0.0, Mental skills training,0.0,Helping athletes achieve optimal performance,0.0," The sport psychology sub-field of performance enhancement deals primarily with the application of psychological principles to improve athletic performance. This can include a variety of techniques, such as goal setting, imagery, self-talk, and relaxation training. Performance enhancement can be used to help athletes improve their mental toughness, focus, and motivation. It can also be used to help athletes cope with stress and anxiety.",0.0, The mental aspects of performance,0.0, The sport psychology sub-field of performance enhancement deals primarily with:,0.0,Improving performance,0.0,Improving performance,0.0, Improving performance,0.0, Improving an athlete's mental and emotional state to maximize performance.,0.0,Enhancing performance,0.0, improving performance,0.0,Athletes,0.0, Enhancing performance,0.0,Mental skills training,0.0, The mental skills and strategies that athletes can use to improve their performance.,0.0, Athletes,0.0,Optimizing athletic performance,0.0,Improving athletic performance,0.0,0.0,
220,id1814,Who killed missy in a bend in the road?,"Sarah's brother, Brian (correct)SALILSPLITCHECKBrian (correct)",,0.0, The sheriff,0.0, The devil,0.0,Mr. Dingle,0.0,Miles Ryan,0.0,Miles Ryan,0.0,,0.0,Ben,0.0," her husband, Dean",0.0, the car,0.0, The devil,0.0,Theodore,0.0, Billy,0.0,The killer is not revealed.,0.0," Missy was killed by her husband, Miles.",0.0, The sheriff,0.0, Answer: Bobby Calden,0.0,John,0.0,Nicholas Sparks,0.0, Herself,0.0, Miles Harding,0.0,The killer,0.0, a hit and run,0.0,The killer,0.0, Dwight,0.0,Miles,0.0," The movie ""A Bend in the Road"" does not feature a character named Missy.",0.0, Herself,0.0,"No one, as A Bend in the Road is a novel by Thomas Wolfe and does not contain a character named Missy.",0.0,Unknown,0.0,0.0,
117,id1388,Number of degree of freedom for plane mechanism?,six (correct)SALILSPLITCHECKtwo (correct), 3,0.0, 6,0.0, 3,0.0,3,0.0,3,0.0,3,0.0,6,0.0,3,0.0, 6,0.0, 6 degrees of freedom,0.0, 3,0.0,6,0.0, 3,0.0,3,0.0, 3,0.0, 3,0.0, 3,0.0,6,0.0,3,0.0, 6,0.0, 6,0.0,2,0.0, 3,0.0,6,0.0, 3,0.0,3,0.0, 3,0.0, 6,0.0,2,0.0,Unknown,0.0,0.0,
116,id1386,The most common form of megalithic architecture in europe is?,the portal tomb (correct)SALILSPLITCHECKportal tomb (correct), Dolmen,0.0, dolmens,0.0, Stonehenge,0.0,Dolmen,0.0,Dolmens,0.0,Dolmen,0.0,dolmen,0.0,Dolmen,0.0, Stonehenge,0.0, single-chamber tombs,0.0, Stonehenge,0.0,Stonehenge,0.0, Stonehenge,0.0,Dolmens,0.0," The most common form of megalithic architecture in Europe is the dolmen. Dolmens are single-chambered tombs that are typically constructed from large stone slabs. They are often found in groups, and they are thought to have been used for burials.",0.0, Stonehenge,0.0, dolmen,0.0,Dolmen,0.0,Dolmens,0.0, Dolmens,0.0, Dolmen,0.0,Dolmen,0.0, dolmens,0.0,Stonehenge,0.0, Stonehenge,0.0,Dolmens,0.0, Dolmen,0.0, Stone circles,0.0,Dolmens,0.0,Stonehenge,0.0,0.0,
509,id2990,When did the cubs won a world series?,2016 (correct)SALILSPLITCHECK1907 (correct)SALILSPLITCHECK1908 (correct), 2016,1.0, 2016,1.0, 1908,1.0,2016,1.0,2016,1.0,2016,1.0,2016,1.0,2016,1.0, 2016,1.0, 1908,1.0, 2016,1.0,2016,1.0, 1908,1.0,2016,1.0, 2016,1.0, 2016,1.0, 2016,1.0,2016,1.0,2016,1.0, 2016,1.0, 2016,1.0,2016,1.0, 2016,1.0,2016,1.0, 2016,1.0,2016,1.0, 2016,1.0, 2016,1.0,2016,1.0,2016,1.0,0.0,
799,id4086,Who discovered that plants were made of cells?,Parashara (correct), Robert Hooke,0.0, Robert Hooke,0.0, Robert Hooke,0.0,Robert Hooke,0.0,Matthias Schleiden,0.0,Matthias Schleiden,0.0,Robert Hooke,0.0,Robert Hooke,0.0, Robert Hooke,0.0, Robert Hooke,0.0, Robert Hooke,0.0,Robert Hooke,0.0, Robert Hooke,0.0,Robert Hooke,0.0, Robert Hooke,0.0, Robert Hooke,0.0, Robert Hooke,0.0,Robert Hooke,0.0,Robert Hooke,0.0, Robert Hooke,0.0, Matthias Schleiden,0.0,Robert Hooke,0.0, Robert Hooke,0.0,Robert Hooke,0.0, Robert Hooke,0.0,Robert Hooke,0.0, Robert Hooke,0.0, Robert Hooke,0.0,Robert Hooke,0.0,Matthias Schleiden,0.0,0.0,
516,id3008,What is the name given to the common currency to the european union?,The euro (correct)SALILSPLITCHECKeuro (correct), Euro,1.0, Euro,1.0, Euro,1.0,Euro,1.0,Euro,1.0,Euro,1.0,Euro,1.0,Euro,1.0, Euro,1.0, the euro,1.0, Euro,1.0,Euro,1.0, Euro,1.0,Euro,1.0, Euro,1.0, Euro,1.0, Euro,1.0,Euro,1.0,Euro,1.0, Euro,1.0, Euro,1.0,Euro,1.0, Euro,1.0,Euro,1.0, Euro,1.0,Euro,1.0, Euro,1.0, Euro,1.0,Euro,1.0,euro,1.0,0.0,
375,id2412,How many games does a football team have to win to be bowl eligible?,5 (correct), 6,0.0, 6,0.0, 6,0.0,6,0.0,6,0.0,6,0.0,6,0.0,6,0.0, 6,0.0, 6 games,0.0, 6,0.0,6,0.0, 6,0.0,6,0.0, 6,0.0, 6,0.0, 6,0.0,6,0.0,6,0.0, 6,0.0, 6,0.0,6,0.0, 6,0.0,6,0.0, 6,0.0,6,0.0, 6,0.0, 6,0.0,6,0.0,6,0.0,0.0,
802,id4092,When does levi first appear in attack on titan?,"""Whereabouts of His Left Arm: The Struggle for Trost, Part 5"" (correct)SALILSPLITCHECKWhereabouts of His Left Arm: The Struggle for Trost, Part 5 (correct)", Episode 3,0.0, Episode 1,0.0, Season 2,0.0,2013,0.0,2013,0.0,2013,0.0,Episode 3,0.0,Episode 1,0.0," Chapter 3, Volume 1",0.0," Season 2, Episode 4",0.0, 2013,0.0,Season 2,0.0, Season 1,0.0,2013,0.0, Episode 9,0.0, Season 2,0.0, Episode 4,0.0,2013,0.0,2013,0.0," Season 1, Episode 1",0.0, Episode 4,0.0,Season 1 Episode 1,0.0, 2009,0.0,Episode 1,0.0, Episode 1,0.0,2013,0.0, Episode 12,0.0, 2013,0.0,Season 1,0.0,2013,0.0,0.0,
