,instance_id,input.text,references,predicted_text_0,stats.exact_match_0,predicted_text_1,stats.exact_match_1,predicted_text_2,stats.exact_match_2,predicted_text_3,stats.exact_match_3,predicted_text_4,stats.exact_match_4,predicted_text_5,stats.exact_match_5,predicted_text_6,stats.exact_match_6,predicted_text_7,stats.exact_match_7,predicted_text_8,stats.exact_match_8,predicted_text_9,stats.exact_match_9,predicted_text_10,stats.exact_match_10,predicted_text_11,stats.exact_match_11,predicted_text_12,stats.exact_match_12,predicted_text_13,stats.exact_match_13,predicted_text_14,stats.exact_match_14,predicted_text_15,stats.exact_match_15,predicted_text_16,stats.exact_match_16,predicted_text_17,stats.exact_match_17,predicted_text_18,stats.exact_match_18,predicted_text_19,stats.exact_match_19,predicted_text_20,stats.exact_match_20,predicted_text_21,stats.exact_match_21,predicted_text_22,stats.exact_match_22,predicted_text_23,stats.exact_match_23,predicted_text_24,stats.exact_match_24,predicted_text_25,stats.exact_match_25,predicted_text_26,stats.exact_match_26,predicted_text_27,stats.exact_match_27,predicted_text_28,stats.exact_match_28,predicted_text_29,stats.exact_match_29,std,agreement_level
99,id5056,Cold-blooded animals are often,fastSALILSPLITCHECKlargeSALILSPLITCHECKhairless (correct)SALILSPLITCHECKslow, D,0.0, D,0.0,D,0.0, D,0.0, B,0.0, D,0.0, D,0.0,D,0.0,D,0.0,D,0.0,D,0.0,D,0.0,D,0.0, D,0.0, D,0.0, A,0.0, D,0.0,D,0.0, D,0.0, D,0.0, D,0.0,D,0.0,D,0.0,D,0.0, B,0.0,B,0.0, B,0.0, D,0.0,D,0.0,D,0.0,0.0,High
378,id5335,What could I use as biofuel,GoldSALILSPLITCHECKCarSALILSPLITCHECKDiamondsSALILSPLITCHECKPine Needles (correct), D,1.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, B,0.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0, D,1.0,D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,0.1825741858350553,Medium
420,id5377,DNA is a vehicle for passing,clothes typesSALILSPLITCHECKschool gradesSALILSPLITCHECKelbow size (correct)SALILSPLITCHECKlanguage and dialect, D,0.0, D,0.0,D,0.0, D,0.0, D,0.0, D,0.0, D,0.0,D,0.0,D,0.0,D,0.0,D,0.0,D,0.0,D,0.0, D,0.0, D,0.0, C,1.0, D,0.0,D,0.0, D,0.0, D,0.0, D,0.0,D,0.0,D,0.0,D,0.0, B,0.0,D,0.0, D,0.0, D,0.0,D,0.0,D,0.0,0.1825741858350553,Medium
401,id5358,"If I want to go running at night, what can I use as a reflector?",A black shirtSALILSPLITCHECKKitchen foil (correct)SALILSPLITCHECKSunglassesSALILSPLITCHECKA megaphone, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, C,0.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,0.1825741858350553,Medium
96,id5053,Rainbows are always found after what?,A fireSALILSPLITCHECKA tornadoSALILSPLITCHECKRainfall (correct)SALILSPLITCHECKCereal, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0, B,0.0,C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,0.18257418583505533,Medium
370,id5327,What is an example of reproduction?,farmingSALILSPLITCHECKegg depositing (correct)SALILSPLITCHECKflyingSALILSPLITCHECKwalking, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, A,0.0, B,1.0,B,1.0,B,1.0,0.18257418583505536,Medium
319,id5276,"If a bird is a carnivore, then it is likely a(n)",preySALILSPLITCHECKpredator (correct)SALILSPLITCHECKherbivoreSALILSPLITCHECKcanary, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, D,0.0, B,1.0,B,1.0,B,1.0,0.18257418583505536,Medium
210,id5167,Moon phases,change the moon into cheeseSALILSPLITCHECKalter the way the moon's facade looks (correct)SALILSPLITCHECKchange moon lakes into vaporSALILSPLITCHECKcause lunar eclipse every day, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, A,0.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, A,0.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,0.2537081317024625,Medium
103,id5060,"A farmer harvests seeds from some plants, such as tomatoes, in order to plant them later on. These seeds, once planted",have their own dirtSALILSPLITCHECKhave their own sunlightSALILSPLITCHECKhave a lot of sandSALILSPLITCHECKcontain their necessary nutrition (correct), D,1.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0, B,0.0,D,1.0, C,0.0, D,1.0,D,1.0,D,1.0,0.2537081317024625,Medium
448,id5405,What will be more available in an area when rainfall increases?,fireSALILSPLITCHECKairSALILSPLITCHECKdirtSALILSPLITCHECKH2O (correct), D,1.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, B,0.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0, B,0.0,D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,0.2537081317024625,Medium
224,id5181,"When a plane is in the sky and is several miles away, the light seen is barely visible, but when it is drawing near",light is far awaySALILSPLITCHECKlight is more easily seen (correct)SALILSPLITCHECKlight is more distantSALILSPLITCHECKlight is further away, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, D,0.0, B,1.0,B,1.0, A,0.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,0.2537081317024625,Medium
365,id5322,What constitutes a frog's diet?,it eats all plantsSALILSPLITCHECKit will eat dogsSALILSPLITCHECKit only eats burgersSALILSPLITCHECKit chomps on insects (correct), D,1.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, A,0.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0, B,0.0,D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,0.2537081317024625,Medium
202,id5159,"A rabbit has a litter of bunnies! Most of the babies are white, just like the mother rabbit, but one baby has brown spots, like the father rabbit. The father rabbit",spread out some furSALILSPLITCHECKhas black on his earsSALILSPLITCHECKpassed down inherited characteristics (correct)SALILSPLITCHECKis the same size as the mother, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, A,0.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0, B,0.0,C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,0.2537081317024625,Medium
106,id5063,One of the negative consequences of offshore oil platforms is,evaporation of the surrounding waterSALILSPLITCHECKdischarge of liquid petroleum in the surrounding sea (correct)SALILSPLITCHECKimprovement in the conditions of sea lifeSALILSPLITCHECKincrease in the birthrate of sea birds, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, C,0.0, B,1.0,B,1.0, C,0.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,0.2537081317024625,Medium
48,id5005,Seals are most likely to be found in what type of environment?,desertSALILSPLITCHECKarctic (correct)SALILSPLITCHECKMediterraneanSALILSPLITCHECKtropical, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, C,0.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, D,0.0, B,1.0,B,1.0,B,1.0,0.2537081317024625,Medium
350,id5307,Which of these energy sources generates the least amount of pollution?,coalSALILSPLITCHECKwindmill (correct)SALILSPLITCHECKlithium batteriesSALILSPLITCHECKgasoline, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,A,0.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, A,0.0, B,1.0,B,1.0,B,1.0,0.2537081317024625,Medium
446,id5403,Polar bears require,a tropical environmentSALILSPLITCHECKa frigid environment (correct)SALILSPLITCHECKa tepid environmentSALILSPLITCHECKa warm environment, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, C,0.0, B,1.0,B,1.0, A,0.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, B,1.0,B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,0.2537081317024625,Medium
30,id4987,To grow plants require,acid rainSALILSPLITCHECKpesticidesSALILSPLITCHECKshafts of sunlight (correct)SALILSPLITCHECKmoonbeam rays, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0,C,1.0, C,1.0, C,1.0, C,1.0, C,1.0,C,1.0, C,1.0, C,1.0, C,1.0,C,1.0,C,1.0,C,1.0, B,0.0,C,1.0, A,0.0, C,1.0,C,1.0,C,1.0,0.2537081317024625,Medium
451,id5408,"If a person loses his job and is low on money, he will have to start cutting back on how much food he consumes or he'd run out, otherwise known as",destroyingSALILSPLITCHECKconserving (correct)SALILSPLITCHECKlosingSALILSPLITCHECKsquandering, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0,B,1.0, B,1.0, B,1.0, B,1.0, B,1.0,B,1.0, B,1.0, B,1.0, B,1.0,B,1.0,B,1.0,B,1.0, C,0.0,B,1.0, A,0.0, B,1.0,B,1.0,B,1.0,0.2537081317024625,Medium
218,id5175,"A male bird spots a female of his species and begins a fancy dance, flashing his bright feathers around in the air, showing off. This male is attempting to procure",a managerSALILSPLITCHECKan agentSALILSPLITCHECKa mealSALILSPLITCHECKa reproductive companion (correct), D,1.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, B,0.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0, B,0.0,D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,0.2537081317024625,Medium
186,id5143,What is a stopwatch used for?,to rewind 5 minutesSALILSPLITCHECKto tell what will happen 5 minutes from nowSALILSPLITCHECKto voice the timeSALILSPLITCHECKto measure minutes and hours (correct), D,1.0, D,1.0,D,1.0, D,1.0, B,0.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0,D,1.0, D,1.0, D,1.0, D,1.0, D,1.0,D,1.0, D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,D,1.0, B,0.0,D,1.0, D,1.0, D,1.0,D,1.0,D,1.0,0.2537081317024625,Medium
317,id5274,A bat starts its life similarly to a,chickenSALILSPLITCHECKpig (correct)SALILSPLITCHECKbutterflySALILSPLITCHECKduck, C,0.0, C,0.0,A,0.0, C,0.0, D,0.0, C,0.0, C,0.0,A,0.0,B,1.0,C,0.0,C,0.0,C,0.0,A,0.0, C,0.0, C,0.0, D,0.0, C,0.0,C,0.0, A,0.0, C,0.0, D,0.0,A,0.0,A,0.0,A,0.0, B,1.0,C,0.0, D,0.0, C,0.0,C,0.0,C,0.0,0.2537081317024625,Medium
