,instance_id,input.text,predicted_text_0,stats.exact_match_0,num_words_0,predicted_text_1,stats.exact_match_1,num_words_1,predicted_text_2,stats.exact_match_2,num_words_2,predicted_text_3,stats.exact_match_3,num_words_3,predicted_text_4,stats.exact_match_4,num_words_4,predicted_text_5,stats.exact_match_5,num_words_5,predicted_text_6,stats.exact_match_6,num_words_6,predicted_text_7,stats.exact_match_7,num_words_7,predicted_text_8,stats.exact_match_8,num_words_8,predicted_text_9,stats.exact_match_9,num_words_9,predicted_text_10,stats.exact_match_10,num_words_10,predicted_text_11,stats.exact_match_11,num_words_11,predicted_text_12,stats.exact_match_12,num_words_12,predicted_text_13,stats.exact_match_13,num_words_13,predicted_text_14,stats.exact_match_14,num_words_14,predicted_text_15,stats.exact_match_15,num_words_15,predicted_text_16,stats.exact_match_16,num_words_16,predicted_text_17,stats.exact_match_17,num_words_17,predicted_text_18,stats.exact_match_18,num_words_18,predicted_text_19,stats.exact_match_19,num_words_19,predicted_text_20,stats.exact_match_20,num_words_20,predicted_text_21,stats.exact_match_21,num_words_21,predicted_text_22,stats.exact_match_22,num_words_22,predicted_text_23,stats.exact_match_23,num_words_23,predicted_text_24,stats.exact_match_24,num_words_24,predicted_text_25,stats.exact_match_25,num_words_25,predicted_text_26,stats.exact_match_26,num_words_26,predicted_text_27,stats.exact_match_27,num_words_27,predicted_text_28,stats.exact_match_28,num_words_28,predicted_text_29,stats.exact_match_29,num_words_29,std,agreement_level
99,id5056,Cold-blooded animals are often, D,0.0,5, D,0.0,5,D,0.0,5, D,0.0,5, B,0.0,5, D,0.0,5, D,0.0,5,D,0.0,5,D,0.0,5,D,0.0,5,D,0.0,5,D,0.0,5,D,0.0,5, D,0.0,5, D,0.0,5, A,0.0,5, D,0.0,5,D,0.0,5, D,0.0,5, D,0.0,5, D,0.0,5,D,0.0,5,D,0.0,5,D,0.0,5, B,0.0,5,B,0.0,5, B,0.0,5, D,0.0,5,D,0.0,5,D,0.0,5,0.0,
378,id5335,What could I use as biofuel, D,1.0,7, D,1.0,7,D,1.0,7, D,1.0,7, D,1.0,7, D,1.0,7, D,1.0,7,D,1.0,7,D,1.0,7,D,1.0,7,D,1.0,7,D,1.0,7,D,1.0,7, D,1.0,7, D,1.0,7, D,1.0,7, D,1.0,7,D,1.0,7, B,0.0,7, D,1.0,7, D,1.0,7,D,1.0,7,D,1.0,7,D,1.0,7, D,1.0,7,D,1.0,7, D,1.0,7, D,1.0,7,D,1.0,7,D,1.0,7,0.1825741858350553,Medium
420,id5377,DNA is a vehicle for passing, D,0.0,7, D,0.0,7,D,0.0,7, D,0.0,7, D,0.0,7, D,0.0,7, D,0.0,7,D,0.0,7,D,0.0,7,D,0.0,7,D,0.0,7,D,0.0,7,D,0.0,7, D,0.0,7, D,0.0,7, C,1.0,7, D,0.0,7,D,0.0,7, D,0.0,7, D,0.0,7, D,0.0,7,D,0.0,7,D,0.0,7,D,0.0,7, B,0.0,7,D,0.0,7, D,0.0,7, D,0.0,7,D,0.0,7,D,0.0,7,0.1825741858350553,Medium
401,id5358,"If I want to go running at night, what can I use as a reflector?", B,1.0,16, B,1.0,16,B,1.0,16, B,1.0,16, B,1.0,16, B,1.0,16, B,1.0,16,B,1.0,16,B,1.0,16,B,1.0,16,B,1.0,16,B,1.0,16,B,1.0,16, B,1.0,16, B,1.0,16, C,0.0,16, B,1.0,16,B,1.0,16, B,1.0,16, B,1.0,16, B,1.0,16,B,1.0,16,B,1.0,16,B,1.0,16, B,1.0,16,B,1.0,16, B,1.0,16, B,1.0,16,B,1.0,16,B,1.0,16,0.1825741858350553,Medium
96,id5053,Rainbows are always found after what?, C,1.0,7, C,1.0,7,C,1.0,7, C,1.0,7, C,1.0,7, C,1.0,7, C,1.0,7,C,1.0,7,C,1.0,7,C,1.0,7,C,1.0,7,C,1.0,7,C,1.0,7, C,1.0,7, C,1.0,7, C,1.0,7, C,1.0,7,C,1.0,7, C,1.0,7, C,1.0,7, C,1.0,7,C,1.0,7,C,1.0,7,C,1.0,7, B,0.0,7,C,1.0,7, C,1.0,7, C,1.0,7,C,1.0,7,C,1.0,7,0.18257418583505533,Medium
370,id5327,What is an example of reproduction?, B,1.0,7, B,1.0,7,B,1.0,7, B,1.0,7, B,1.0,7, B,1.0,7, B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7, B,1.0,7, B,1.0,7, B,1.0,7, B,1.0,7,B,1.0,7, B,1.0,7, B,1.0,7, B,1.0,7,B,1.0,7,B,1.0,7,B,1.0,7, B,1.0,7,B,1.0,7, A,0.0,7, B,1.0,7,B,1.0,7,B,1.0,7,0.18257418583505536,Medium
319,id5276,"If a bird is a carnivore, then it is likely a(n)", B,1.0,12, B,1.0,12,B,1.0,12, B,1.0,12, B,1.0,12, B,1.0,12, B,1.0,12,B,1.0,12,B,1.0,12,B,1.0,12,B,1.0,12,B,1.0,12,B,1.0,12, B,1.0,12, B,1.0,12, B,1.0,12, B,1.0,12,B,1.0,12, B,1.0,12, B,1.0,12, B,1.0,12,B,1.0,12,B,1.0,12,B,1.0,12, B,1.0,12,B,1.0,12, D,0.0,12, B,1.0,12,B,1.0,12,B,1.0,12,0.18257418583505536,Medium
210,id5167,Moon phases, B,1.0,3, B,1.0,3,B,1.0,3, B,1.0,3, B,1.0,3, B,1.0,3, B,1.0,3,B,1.0,3,B,1.0,3,B,1.0,3,B,1.0,3,B,1.0,3,B,1.0,3, B,1.0,3, B,1.0,3, A,0.0,3, B,1.0,3,B,1.0,3, B,1.0,3, B,1.0,3, B,1.0,3,B,1.0,3,B,1.0,3,B,1.0,3, A,0.0,3,B,1.0,3, B,1.0,3, B,1.0,3,B,1.0,3,B,1.0,3,0.2537081317024625,Medium
103,id5060,"A farmer harvests seeds from some plants, such as tomatoes, in order to plant them later on. These seeds, once planted", D,1.0,22, D,1.0,22,D,1.0,22, D,1.0,22, D,1.0,22, D,1.0,22, D,1.0,22,D,1.0,22,D,1.0,22,D,1.0,22,D,1.0,22,D,1.0,22,D,1.0,22, D,1.0,22, D,1.0,22, D,1.0,22, D,1.0,22,D,1.0,22, D,1.0,22, D,1.0,22, D,1.0,22,D,1.0,22,D,1.0,22,D,1.0,22, B,0.0,22,D,1.0,22, C,0.0,22, D,1.0,22,D,1.0,22,D,1.0,22,0.2537081317024625,Medium
448,id5405,What will be more available in an area when rainfall increases?, D,1.0,12, D,1.0,12,D,1.0,12, D,1.0,12, D,1.0,12, D,1.0,12, D,1.0,12,D,1.0,12,D,1.0,12,D,1.0,12,D,1.0,12,D,1.0,12,D,1.0,12, D,1.0,12, D,1.0,12, B,0.0,12, D,1.0,12,D,1.0,12, D,1.0,12, D,1.0,12, D,1.0,12,D,1.0,12,D,1.0,12,D,1.0,12, B,0.0,12,D,1.0,12, D,1.0,12, D,1.0,12,D,1.0,12,D,1.0,12,0.2537081317024625,Medium
224,id5181,"When a plane is in the sky and is several miles away, the light seen is barely visible, but when it is drawing near", B,1.0,25, B,1.0,25,B,1.0,25, B,1.0,25, B,1.0,25, B,1.0,25, B,1.0,25,B,1.0,25,B,1.0,25,B,1.0,25,B,1.0,25,B,1.0,25,B,1.0,25, B,1.0,25, B,1.0,25, D,0.0,25, B,1.0,25,B,1.0,25, A,0.0,25, B,1.0,25, B,1.0,25,B,1.0,25,B,1.0,25,B,1.0,25, B,1.0,25,B,1.0,25, B,1.0,25, B,1.0,25,B,1.0,25,B,1.0,25,0.2537081317024625,Medium
365,id5322,What constitutes a frog's diet?, D,1.0,6, D,1.0,6,D,1.0,6, D,1.0,6, D,1.0,6, D,1.0,6, D,1.0,6,D,1.0,6,D,1.0,6,D,1.0,6,D,1.0,6,D,1.0,6,D,1.0,6, D,1.0,6, D,1.0,6, D,1.0,6, D,1.0,6,D,1.0,6, A,0.0,6, D,1.0,6, D,1.0,6,D,1.0,6,D,1.0,6,D,1.0,6, B,0.0,6,D,1.0,6, D,1.0,6, D,1.0,6,D,1.0,6,D,1.0,6,0.2537081317024625,Medium
202,id5159,"A rabbit has a litter of bunnies! Most of the babies are white, just like the mother rabbit, but one baby has brown spots, like the father rabbit. The father rabbit", C,1.0,32, C,1.0,32,C,1.0,32, C,1.0,32, C,1.0,32, C,1.0,32, C,1.0,32,C,1.0,32,C,1.0,32,C,1.0,32,C,1.0,32,C,1.0,32,C,1.0,32, C,1.0,32, C,1.0,32, C,1.0,32, C,1.0,32,C,1.0,32, A,0.0,32, C,1.0,32, C,1.0,32,C,1.0,32,C,1.0,32,C,1.0,32, B,0.0,32,C,1.0,32, C,1.0,32, C,1.0,32,C,1.0,32,C,1.0,32,0.2537081317024625,Medium
106,id5063,One of the negative consequences of offshore oil platforms is, B,1.0,11, B,1.0,11,B,1.0,11, B,1.0,11, B,1.0,11, B,1.0,11, B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11, B,1.0,11, B,1.0,11, C,0.0,11, B,1.0,11,B,1.0,11, C,0.0,11, B,1.0,11, B,1.0,11,B,1.0,11,B,1.0,11,B,1.0,11, B,1.0,11,B,1.0,11, B,1.0,11, B,1.0,11,B,1.0,11,B,1.0,11,0.2537081317024625,Medium
48,id5005,Seals are most likely to be found in what type of environment?, B,1.0,13, B,1.0,13,B,1.0,13, B,1.0,13, B,1.0,13, B,1.0,13, B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13, B,1.0,13, B,1.0,13, B,1.0,13, B,1.0,13,B,1.0,13, C,0.0,13, B,1.0,13, B,1.0,13,B,1.0,13,B,1.0,13,B,1.0,13, B,1.0,13,B,1.0,13, D,0.0,13, B,1.0,13,B,1.0,13,B,1.0,13,0.2537081317024625,Medium
350,id5307,Which of these energy sources generates the least amount of pollution?, B,1.0,12, B,1.0,12,B,1.0,12, B,1.0,12, B,1.0,12, B,1.0,12, B,1.0,12,B,1.0,12,A,0.0,12,B,1.0,12,B,1.0,12,B,1.0,12,B,1.0,12, B,1.0,12, B,1.0,12, B,1.0,12, B,1.0,12,B,1.0,12, B,1.0,12, B,1.0,12, B,1.0,12,B,1.0,12,B,1.0,12,B,1.0,12, B,1.0,12,B,1.0,12, A,0.0,12, B,1.0,12,B,1.0,12,B,1.0,12,0.2537081317024625,Medium
446,id5403,Polar bears require, B,1.0,4, B,1.0,4,B,1.0,4, B,1.0,4, B,1.0,4, B,1.0,4, B,1.0,4,B,1.0,4,B,1.0,4,B,1.0,4,B,1.0,4,B,1.0,4,B,1.0,4, B,1.0,4, B,1.0,4, C,0.0,4, B,1.0,4,B,1.0,4, A,0.0,4, B,1.0,4, B,1.0,4,B,1.0,4,B,1.0,4,B,1.0,4, B,1.0,4,B,1.0,4, B,1.0,4, B,1.0,4,B,1.0,4,B,1.0,4,0.2537081317024625,Medium
30,id4987,To grow plants require, C,1.0,5, C,1.0,5,C,1.0,5, C,1.0,5, C,1.0,5, C,1.0,5, C,1.0,5,C,1.0,5,C,1.0,5,C,1.0,5,C,1.0,5,C,1.0,5,C,1.0,5, C,1.0,5, C,1.0,5, C,1.0,5, C,1.0,5,C,1.0,5, C,1.0,5, C,1.0,5, C,1.0,5,C,1.0,5,C,1.0,5,C,1.0,5, B,0.0,5,C,1.0,5, A,0.0,5, C,1.0,5,C,1.0,5,C,1.0,5,0.2537081317024625,Medium
451,id5408,"If a person loses his job and is low on money, he will have to start cutting back on how much food he consumes or he'd run out, otherwise known as", B,1.0,32, B,1.0,32,B,1.0,32, B,1.0,32, B,1.0,32, B,1.0,32, B,1.0,32,B,1.0,32,B,1.0,32,B,1.0,32,B,1.0,32,B,1.0,32,B,1.0,32, B,1.0,32, B,1.0,32, B,1.0,32, B,1.0,32,B,1.0,32, B,1.0,32, B,1.0,32, B,1.0,32,B,1.0,32,B,1.0,32,B,1.0,32, C,0.0,32,B,1.0,32, A,0.0,32, B,1.0,32,B,1.0,32,B,1.0,32,0.2537081317024625,Medium
