,instance_id,input.text,references,predicted_text_0,stats.exact_match_0,predicted_text_1,stats.exact_match_1,predicted_text_2,stats.exact_match_2,predicted_text_3,stats.exact_match_3,predicted_text_4,stats.exact_match_4,predicted_text_5,stats.exact_match_5,predicted_text_6,stats.exact_match_6,predicted_text_7,stats.exact_match_7,predicted_text_8,stats.exact_match_8,predicted_text_9,stats.exact_match_9,predicted_text_10,stats.exact_match_10,predicted_text_11,stats.exact_match_11,predicted_text_12,stats.exact_match_12,predicted_text_13,stats.exact_match_13,predicted_text_14,stats.exact_match_14,predicted_text_15,stats.exact_match_15,predicted_text_16,stats.exact_match_16,predicted_text_17,stats.exact_match_17,predicted_text_18,stats.exact_match_18,predicted_text_19,stats.exact_match_19,predicted_text_20,stats.exact_match_20,predicted_text_21,stats.exact_match_21,predicted_text_22,stats.exact_match_22,predicted_text_23,stats.exact_match_23,predicted_text_24,stats.exact_match_24,predicted_text_25,stats.exact_match_25,predicted_text_26,stats.exact_match_26,predicted_text_27,stats.exact_match_27,predicted_text_28,stats.exact_match_28,predicted_text_29,stats.exact_match_29,std,agreement_level
27,id21,"Statement 1 | If a group has an element of order 15 it must have at least 8 elements of order 15. Statement 2 | If a group has more than 8 elements of order 15, it must have at least 16 elements of order 15.","True, True (correct)SALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, FalseSALILSPLITCHECKFalse, True",C,0.0, B,0.0, B,0.0,B,0.0, B,0.0,D,0.0, B,0.0, D,0.0,B,0.0,D,0.0, B,0.0,B,0.0,B,0.0, C,0.0,B,0.0, D,0.0,D,0.0, B,0.0, B,0.0,C,0.0, C,0.0, C,0.0,B,0.0,C,0.0,D,0.0, B,0.0, D,0.0, B,0.0,C,0.0, D,0.0,0.0,
9,id108,Which of the following statements is true?,"Every equivalence relation is a partial-ordering relation.SALILSPLITCHECKNumber of relations form A = {x, y, z} to B= (1, 2), is 64. (correct)SALILSPLITCHECKEmpty relation _ is reflexiveSALILSPLITCHECKProperties of a relation being symmetric and being un-symmetric are negative of each other.",C,0.0, A,0.0, A,0.0,C,0.0, B,1.0,D,0.0, C,0.0, C,0.0,A,0.0,D,0.0, A,0.0,C,0.0,A,0.0, D,0.0,C,0.0, A,0.0,D,0.0, D,0.0, C,0.0,D,0.0, D,0.0, A,0.0,C,0.0,C,0.0,A,0.0, D,0.0, D,0.0, C,0.0,C,0.0, D,0.0,0.18257418583505525,Medium
13,id111,Statement 1 | If H is a subgroup of G and a belongs to G then aH is a subgroup of G if and only if a is in H. Statement 2 | If H is a subgroup of G and a and b belong to G then aH = bH if and only if ab is in H.,"True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, False (correct)SALILSPLITCHECKFalse, True",A,0.0, B,0.0, B,0.0,B,0.0, B,0.0,D,0.0, B,0.0, D,0.0,B,0.0,D,0.0, B,0.0,A,0.0,A,0.0, A,0.0,D,0.0, D,0.0,D,0.0, D,0.0, A,0.0,B,0.0, A,0.0, A,0.0,C,1.0,A,0.0,D,0.0, D,0.0, B,0.0, D,0.0,C,1.0, B,0.0,0.2537081317024625,Medium
10,id109,Find the maximum possible order for an element of S_n for n = 6.,6 (correct)SALILSPLITCHECK12SALILSPLITCHECK30SALILSPLITCHECK105,B,0.0, D,0.0, D,0.0,D,0.0, A,1.0,D,0.0, B,0.0, B,0.0,C,0.0,B,0.0, B,0.0,B,0.0,B,0.0, B,0.0,B,0.0, D,0.0,D,0.0, D,0.0, D,0.0,D,0.0, B,0.0, D,0.0,C,0.0,A,1.0,C,0.0, D,0.0, D,0.0, B,0.0,B,0.0, B,0.0,0.2537081317024625,Medium
88,id79,"If A = (1, 2, 3, 4). Let ~= {(1, 2), (1, 3), (4, 2)}. Then ~ is",not anti-symmetricSALILSPLITCHECKtransitive (correct)SALILSPLITCHECKreflexiveSALILSPLITCHECKsymmetric,D,0.0, A,0.0, A,0.0,D,0.0, D,0.0,D,0.0, D,0.0, B,1.0,A,0.0,D,0.0, B,1.0,A,0.0,B,1.0, A,0.0,D,0.0, D,0.0,D,0.0, A,0.0, D,0.0,A,0.0, C,0.0, A,0.0,A,0.0,D,0.0,D,0.0, A,0.0, A,0.0, A,0.0,D,0.0, D,0.0,0.3051285766293645,Low
18,id12,"Statement 1 | If f is a homomorphism from G to K and H is normal in G then f(H) is normal in K. Statement 2 | If f is a homomorphism from G to a group and H is finite subgroup of G, then |f(H)| divides |H|.","True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, FalseSALILSPLITCHECKFalse, True (correct)",A,0.0, B,0.0, B,0.0,A,0.0, A,0.0,D,1.0, D,1.0, B,0.0,A,0.0,B,0.0, B,0.0,B,0.0,A,0.0, A,0.0,A,0.0, A,0.0,D,1.0, C,0.0, A,0.0,A,0.0, B,0.0, C,0.0,C,0.0,A,0.0,A,0.0, C,0.0, C,0.0, A,0.0,A,0.0, B,0.0,0.30512857662936455,Low
34,id28,"Find the order of the factor group (Z_11 x Z_15)/(<1, 1>)",1 (correct)SALILSPLITCHECK2SALILSPLITCHECK5SALILSPLITCHECK11,C,0.0, D,0.0, D,0.0,B,0.0, D,0.0,D,0.0, C,0.0, A,1.0,A,1.0,D,0.0, B,0.0,B,0.0,B,0.0, B,0.0,D,0.0, A,1.0,C,0.0, D,0.0, C,0.0,C,0.0, B,0.0, C,0.0,D,0.0,C,0.0,To,0.0, D,0.0, D,0.0, D,0.0,C,0.0, D,0.0,0.30512857662936455,Low
2,id101,Statement 1 | A homomorphism is one to one if and only if the kernel consists of the identity element alone. Statement 2 | The image of a group of 6 elements under some homomorphism may have 4 elements.,"True, TrueSALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, False (correct)SALILSPLITCHECKFalse, True",A,0.0, B,0.0, B,0.0,A,0.0, A,0.0,B,0.0, D,0.0, B,0.0,A,0.0,B,0.0, B,0.0,B,0.0,B,0.0, D,0.0,A,0.0, D,0.0,D,0.0, A,0.0, C,1.0,A,0.0, B,0.0, C,1.0,C,1.0,A,0.0,A,0.0, A,0.0, B,0.0, A,0.0,A,0.0, B,0.0,0.3051285766293646,Low
83,id74,Statement 1 | Every group of order 159 is cyclic. Statement 2 | Every group of order 102 has a nontrivial proper normal subgroup.,"True, True (correct)SALILSPLITCHECKFalse, FalseSALILSPLITCHECKTrue, FalseSALILSPLITCHECKFalse, True",C,0.0, B,0.0, B,0.0,B,0.0, D,0.0,D,0.0, D,0.0, A,1.0,B,0.0,D,0.0, B,0.0,B,0.0,D,0.0, A,1.0,D,0.0, D,0.0,D,0.0, D,0.0, B,0.0,B,0.0, D,0.0, C,0.0,C,0.0,C,0.0,A,1.0, D,0.0, D,0.0, D,0.0,C,0.0, C,0.0,0.30512857662936466,Low
43,id37,"Find the sum of the given polynomials in the given polynomial ring. f(x) = 4x - 5, g(x) = 2x^2 - 4x + 2 in Z_8[x].",2x^2 + 5 (correct)SALILSPLITCHECK6x^2 + 4x + 6SALILSPLITCHECK0SALILSPLITCHECKx^2 + 1,B,0.0, B,0.0, B,0.0,B,0.0, B,0.0,C,0.0, B,0.0, B,0.0,A,1.0,D,0.0, B,0.0,B,0.0,B,0.0, A,1.0,B,0.0, D,0.0,B,0.0, D,0.0, B,0.0,B,0.0, B,0.0, B,0.0,C,0.0,A,1.0,To,0.0, D,0.0, C,0.0, B,0.0,C,0.0, B,0.0,0.30512857662936466,Low
