,instance_id,input.text,references,predicted_text_0,stats.quasi_exact_match_0,predicted_text_1,stats.quasi_exact_match_1,predicted_text_2,stats.quasi_exact_match_2,predicted_text_3,stats.quasi_exact_match_3,predicted_text_4,stats.quasi_exact_match_4,predicted_text_5,stats.quasi_exact_match_5,predicted_text_6,stats.quasi_exact_match_6,predicted_text_7,stats.quasi_exact_match_7,predicted_text_8,stats.quasi_exact_match_8,predicted_text_9,stats.quasi_exact_match_9,predicted_text_10,stats.quasi_exact_match_10,predicted_text_11,stats.quasi_exact_match_11,predicted_text_12,stats.quasi_exact_match_12,predicted_text_13,stats.quasi_exact_match_13,predicted_text_14,stats.quasi_exact_match_14,predicted_text_15,stats.quasi_exact_match_15,predicted_text_16,stats.quasi_exact_match_16,predicted_text_17,stats.quasi_exact_match_17,predicted_text_18,stats.quasi_exact_match_18,predicted_text_19,stats.quasi_exact_match_19,predicted_text_20,stats.quasi_exact_match_20,predicted_text_21,stats.quasi_exact_match_21,predicted_text_22,stats.quasi_exact_match_22,predicted_text_23,stats.quasi_exact_match_23,predicted_text_24,stats.quasi_exact_match_24,predicted_text_25,stats.quasi_exact_match_25,predicted_text_26,stats.quasi_exact_match_26,predicted_text_27,stats.quasi_exact_match_27,predicted_text_28,stats.quasi_exact_match_28,predicted_text_29,stats.quasi_exact_match_29,std,agreement_level
39,id49,"Description: The mark ""Netflix"" for an online streaming service.",suggestive (correct), fanciful,0.0,fanciful,0.0,arbitrary,0.0,arbitrary,0.0, fanciful,0.0,arbitrary,0.0, fanciful,0.0,arbitrary,0.0, arbitrary ,0.0, arbitrary,0.0,fanciful,0.0,arbitrary,0.0,fanciful,0.0, fanciful,0.0, arbitrary,0.0, fanciful,0.0, fanciful,0.0, arbitrary,0.0, arbitrary,0.0, descriptive,0.0,arbitrary,0.0,arbitrary,0.0, fanciful,0.0,fanciful,0.0,fanciful,0.0, arbitrary,0.0,fanciful,0.0,fanciful,0.0, fanciful,0.0, fanciful,0.0,0.0,
36,id46,"Description: The mark ""Airbus"" for an airplane manufacturer.",suggestive (correct), arbitrary,0.0,fanciful,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,arbitrary,0.0, generic,0.0,arbitrary,0.0, arbitrary ,0.0, arbitrary,0.0,fanciful,0.0,arbitrary,0.0,suggestive,1.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0,arbitrary,0.0,fanciful,0.0, arbitrary,0.0,arbitrary,0.0,fanciful,0.0, arbitrary,0.0,Type: suggestive,0.0,arbitrary,0.0, arbitrary,0.0, arbitrary,0.0,0.1825741858350553,Medium
38,id48,"Description: The mark ""Microsoft"" for small computers.",suggestive (correct), arbitrary,0.0,arbitrary,0.0,fanciful,0.0,arbitrary,0.0, arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,arbitrary,0.0, arbitrary ,0.0, arbitrary,0.0,fanciful,0.0,arbitrary,0.0,suggestive,1.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, fanciful,0.0, arbitrary,0.0, arbitrary,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,arbitrary,0.0,fanciful,0.0, arbitrary,0.0,Type: fanciful,0.0,arbitrary,0.0, fanciful,0.0, arbitrary,0.0,0.1825741858350553,Medium
54,id62,"Description: The mark ""Apple"" for a computer manufacturer.",arbitrary (correct), arbitrary,1.0,arbitrary,1.0,arbitrary,1.0,arbitrary,1.0, arbitrary,1.0,arbitrary,1.0, arbitrary,1.0,arbitrary,1.0, arbitrary ,1.0, arbitrary,1.0,arbitrary,1.0,arbitrary,1.0,arbitrary,1.0, arbitrary,1.0, arbitrary,1.0, arbitrary,1.0, arbitrary,1.0, arbitrary,1.0, arbitrary,1.0, arbitrary,1.0,arbitrary,1.0,arbitrary,1.0, arbitrary,1.0,arbitrary,1.0,arbitrary,1.0, arbitrary,1.0,Type: arbitrary,0.0,arbitrary,1.0, fanciful,0.0, arbitrary,1.0,0.2537081317024625,Medium
35,id45,"Description: The mark ""Jaguar"" for cars.",suggestive (correct), fanciful,0.0,arbitrary,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,suggestive,1.0, descriptive,0.0,arbitrary,0.0, suggestive,1.0, suggestive,1.0,arbitrary,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, arbitrary,0.0, descriptive,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,Type: arbitrary,0.0,arbitrary,0.0, fanciful,0.0, arbitrary,0.0,0.30512857662936443,Low
11,id21,"Description: The mark ""Pictures"" for a photography service.",generic (correct), descriptive,0.0,descriptive,0.0,descriptive,0.0,descriptive,0.0, generic,1.0,descriptive,0.0, descriptive,0.0,generic,1.0, suggestive ,0.0, suggestive,0.0,descriptive,0.0,descriptive,0.0,descriptive,0.0, descriptive,0.0, descriptive,0.0, generic,1.0, descriptive,0.0, descriptive,0.0, arbitrary,0.0, descriptive,0.0,arbitrary,0.0,descriptive,0.0, descriptive,0.0,descriptive,0.0,descriptive,0.0, fanciful,0.0,Type: generic,0.0,descriptive,0.0, suggestive,0.0, descriptive,0.0,0.30512857662936455,Low
48,id57,"Description: The mark ""Penguin Appliances"" for air conditioning manufacturer.",suggestive (correct), arbitrary,0.0,arbitrary,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,suggestive,1.0, descriptive,0.0,arbitrary,0.0, arbitrary ,0.0, suggestive,1.0,arbitrary,0.0,arbitrary,0.0,arbitrary,0.0, fanciful,0.0, descriptive,0.0, arbitrary,0.0, fanciful,0.0, descriptive,0.0, arbitrary,0.0, descriptive,0.0,arbitrary,0.0,arbitrary,0.0, arbitrary,0.0,fanciful,0.0,fanciful,0.0, arbitrary,0.0,Type: arbitrary,0.0,suggestive,1.0, arbitrary,0.0, arbitrary,0.0,0.30512857662936466,Low
49,id58,"Description: The mark ""7-Eleven"" for a convenience store that opens at 7am and closes at 11pm.",suggestive (correct), arbitrary,0.0,descriptive,0.0,descriptive,0.0,arbitrary,0.0, arbitrary,0.0,suggestive,1.0, descriptive,0.0,arbitrary,0.0, arbitrary ,0.0, suggestive,1.0,arbitrary,0.0,descriptive,0.0,descriptive,0.0, arbitrary,0.0, descriptive,0.0, descriptive,0.0, arbitrary,0.0, arbitrary,0.0, descriptive,0.0, descriptive,0.0,arbitrary,0.0,descriptive,0.0, descriptive,0.0,descriptive,0.0,arbitrary,0.0, arbitrary,0.0,descriptive,0.0,suggestive,1.0, suggestive,1.0, arbitrary,0.0,0.34574590364176033,Low
2,id12,"Description: The mark ""H2O"" for bottled water.",generic (correct), generic,1.0,descriptive,0.0,arbitrary,0.0,arbitrary,0.0, generic,1.0,arbitrary,0.0, arbitrary,0.0,descriptive,0.0, arbitrary ,0.0, arbitrary,0.0,arbitrary,0.0,arbitrary,0.0,descriptive,0.0, arbitrary,0.0, descriptive,0.0, suggestive,0.0, fanciful,0.0, descriptive,0.0, generic,1.0, arbitrary,0.0,arbitrary,0.0,descriptive,0.0, suggestive,0.0,suggestive,0.0,generic,1.0, fanciful,0.0,Type: generic,0.0,arbitrary,0.0, suggestive,0.0, arbitrary,0.0,0.3457459036417604,Low
19,id29,"Description: The mark ""Sharp"" for televisions.",descriptive (correct), suggestive,0.0,suggestive,0.0,suggestive,0.0,arbitrary,0.0, arbitrary,0.0,arbitrary,0.0, descriptive,1.0,arbitrary,0.0, suggestive ,0.0, suggestive,0.0,arbitrary,0.0,arbitrary,0.0,suggestive,0.0, arbitrary,0.0, descriptive,1.0, suggestive,0.0, descriptive,1.0, suggestive,0.0, arbitrary,0.0, descriptive,1.0,arbitrary,0.0,suggestive,0.0, suggestive,0.0,suggestive,0.0,suggestive,0.0, arbitrary,0.0,suggestive,0.0,arbitrary,0.0, suggestive,0.0, suggestive,0.0,0.3457459036417605,Low
