,instance_id,input.text,predicted_text_0,stats.f1_score_0,num_words_0,predicted_text_1,stats.f1_score_1,num_words_1,predicted_text_2,stats.f1_score_2,num_words_2,predicted_text_3,stats.f1_score_3,num_words_3,predicted_text_4,stats.f1_score_4,num_words_4,predicted_text_5,stats.f1_score_5,num_words_5,predicted_text_6,stats.f1_score_6,num_words_6,predicted_text_7,stats.f1_score_7,num_words_7,predicted_text_8,stats.f1_score_8,num_words_8,predicted_text_9,stats.f1_score_9,num_words_9,predicted_text_10,stats.f1_score_10,num_words_10,predicted_text_11,stats.f1_score_11,num_words_11,predicted_text_12,stats.f1_score_12,num_words_12,predicted_text_13,stats.f1_score_13,num_words_13,predicted_text_14,stats.f1_score_14,num_words_14,predicted_text_15,stats.f1_score_15,num_words_15,predicted_text_16,stats.f1_score_16,num_words_16,predicted_text_17,stats.f1_score_17,num_words_17,predicted_text_18,stats.f1_score_18,num_words_18,predicted_text_19,stats.f1_score_19,num_words_19,predicted_text_20,stats.f1_score_20,num_words_20,predicted_text_21,stats.f1_score_21,num_words_21,predicted_text_22,stats.f1_score_22,num_words_22,predicted_text_23,stats.f1_score_23,num_words_23,predicted_text_24,stats.f1_score_24,num_words_24,predicted_text_25,stats.f1_score_25,num_words_25,predicted_text_26,stats.f1_score_26,num_words_26,predicted_text_27,stats.f1_score_27,num_words_27,predicted_text_28,stats.f1_score_28,num_words_28,predicted_text_29,stats.f1_score_29,num_words_29,std,agreement_level
643,id3490,What us state forms the western boundary of montana?, Idaho,1.0,10, idaho,1.0,10, Idaho,1.0,10,Idaho,1.0,10,Idaho,1.0,10,Idaho,1.0,10,Idaho,1.0,10,Idaho,1.0,10, Idaho,1.0,10, Idaho,1.0,10, Idaho,1.0,10,Idaho,1.0,10, Idaho,1.0,10,Idaho,1.0,10, Idaho,1.0,10, Idaho,1.0,10, Idaho,1.0,10,Idaho,1.0,10,Idaho,1.0,10, Idaho,1.0,10, Idaho,1.0,10,Idaho,1.0,10, Idaho,1.0,10,Idaho,1.0,10, Idaho,1.0,10,Idaho,1.0,10, Idaho,1.0,10, Idaho,1.0,10,Idaho,1.0,10,Idaho,1.0,10,0.0,
383,id2442,Who abandoned traditional harmony and created the twelve-tone system for composition?, Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13, Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13,Arnold Schoenberg,1.0,13,0.0,
219,id1812,The sport psychology sub-field of performance enhancement deals primarily with?, Improving mental and emotional factors that affect an athlete's performance.,0.0,20, The sport psychology sub-field of performance enhancement deals primarily with the enhancement of performance in sports.,0.0,26, The psychology of sport,0.0,14,Athletes,0.0,11,Improving Athletic Performance,0.0,13,Improving athletic performance,0.0,13,improving athletic performance,0.0,13,Athletes,0.0,11, psychological factors that can influence performance,0.0,16, How to improve performance in competitive sports,0.0,17, Motivation,0.0,11,Improving performance,0.0,12, Mental skills training,0.0,13,Helping athletes achieve optimal performance,0.0,15," The sport psychology sub-field of performance enhancement deals primarily with the application of psychological principles to improve athletic performance. This can include a variety of techniques, such as goal setting, imagery, self-talk, and relaxation training. Performance enhancement can be used to help athletes improve their mental toughness, focus, and motivation. It can also be used to help athletes cope with stress and anxiety.",0.0,73, The mental aspects of performance,0.0,15, The sport psychology sub-field of performance enhancement deals primarily with:,0.0,20,Improving performance,0.0,12,Improving performance,0.0,12, Improving performance,0.0,12, Improving an athlete's mental and emotional state to maximize performance.,0.0,20,Enhancing performance,0.0,12, improving performance,0.0,12,Athletes,0.0,11, Enhancing performance,0.0,12,Mental skills training,0.0,13, The mental skills and strategies that athletes can use to improve their performance.,0.0,23, Athletes,0.0,11,Optimizing athletic performance,0.0,13,Improving athletic performance,0.0,13,0.0,
220,id1814,Who killed missy in a bend in the road?,,0.0,9, The sheriff,0.0,11, The devil,0.0,11,Mr. Dingle,0.0,11,Miles Ryan,0.0,11,Miles Ryan,0.0,11,,0.0,9,Ben,0.0,10," her husband, Dean",0.0,12, the car,0.0,11, The devil,0.0,11,Theodore,0.0,10, Billy,0.0,10,The killer is not revealed.,0.0,14," Missy was killed by her husband, Miles.",0.0,16, The sheriff,0.0,11, Answer: Bobby Calden,0.0,12,John,0.0,10,Nicholas Sparks,0.0,11, Herself,0.0,10, Miles Harding,0.0,11,The killer,0.0,11, a hit and run,0.0,13,The killer,0.0,11, Dwight,0.0,10,Miles,0.0,10," The movie ""A Bend in the Road"" does not feature a character named Missy.",0.0,23, Herself,0.0,10,"No one, as A Bend in the Road is a novel by Thomas Wolfe and does not contain a character named Missy.",0.0,31,Unknown,0.0,10,0.0,
117,id1388,Number of degree of freedom for plane mechanism?, 3,0.0,9, 6,0.0,9, 3,0.0,9,3,0.0,9,3,0.0,9,3,0.0,9,6,0.0,9,3,0.0,9, 6,0.0,9, 6 degrees of freedom,0.0,12, 3,0.0,9,6,0.0,9, 3,0.0,9,3,0.0,9, 3,0.0,9, 3,0.0,9, 3,0.0,9,6,0.0,9,3,0.0,9, 6,0.0,9, 6,0.0,9,2,0.0,9, 3,0.0,9,6,0.0,9, 3,0.0,9,3,0.0,9, 3,0.0,9, 6,0.0,9,2,0.0,9,Unknown,0.0,9,0.0,
116,id1386,The most common form of megalithic architecture in europe is?, Dolmen,0.0,11, dolmens,0.0,11, Stonehenge,0.0,11,Dolmen,0.0,11,Dolmens,0.0,11,Dolmen,0.0,11,dolmen,0.0,11,Dolmen,0.0,11, Stonehenge,0.0,11, single-chamber tombs,0.0,12, Stonehenge,0.0,11,Stonehenge,0.0,11, Stonehenge,0.0,11,Dolmens,0.0,11," The most common form of megalithic architecture in Europe is the dolmen. Dolmens are single-chambered tombs that are typically constructed from large stone slabs. They are often found in groups, and they are thought to have been used for burials.",0.0,50, Stonehenge,0.0,11, dolmen,0.0,11,Dolmen,0.0,11,Dolmens,0.0,11, Dolmens,0.0,11, Dolmen,0.0,11,Dolmen,0.0,11, dolmens,0.0,11,Stonehenge,0.0,11, Stonehenge,0.0,11,Dolmens,0.0,11, Dolmen,0.0,11, Stone circles,0.0,12,Dolmens,0.0,11,Stonehenge,0.0,11,0.0,
509,id2990,When did the cubs won a world series?, 2016,1.0,9, 2016,1.0,9, 1908,1.0,9,2016,1.0,9,2016,1.0,9,2016,1.0,9,2016,1.0,9,2016,1.0,9, 2016,1.0,9, 1908,1.0,9, 2016,1.0,9,2016,1.0,9, 1908,1.0,9,2016,1.0,9, 2016,1.0,9, 2016,1.0,9, 2016,1.0,9,2016,1.0,9,2016,1.0,9, 2016,1.0,9, 2016,1.0,9,2016,1.0,9, 2016,1.0,9,2016,1.0,9, 2016,1.0,9,2016,1.0,9, 2016,1.0,9, 2016,1.0,9,2016,1.0,9,2016,1.0,9,0.0,
799,id4086,Who discovered that plants were made of cells?, Robert Hooke,0.0,10, Robert Hooke,0.0,10, Robert Hooke,0.0,10,Robert Hooke,0.0,10,Matthias Schleiden,0.0,10,Matthias Schleiden,0.0,10,Robert Hooke,0.0,10,Robert Hooke,0.0,10, Robert Hooke,0.0,10, Robert Hooke,0.0,10, Robert Hooke,0.0,10,Robert Hooke,0.0,10, Robert Hooke,0.0,10,Robert Hooke,0.0,10, Robert Hooke,0.0,10, Robert Hooke,0.0,10, Robert Hooke,0.0,10,Robert Hooke,0.0,10,Robert Hooke,0.0,10, Robert Hooke,0.0,10, Matthias Schleiden,0.0,10,Robert Hooke,0.0,10, Robert Hooke,0.0,10,Robert Hooke,0.0,10, Robert Hooke,0.0,10,Robert Hooke,0.0,10, Robert Hooke,0.0,10, Robert Hooke,0.0,10,Robert Hooke,0.0,10,Matthias Schleiden,0.0,10,0.0,
516,id3008,What is the name given to the common currency to the european union?, Euro,1.0,14, Euro,1.0,14, Euro,1.0,14,Euro,1.0,14,Euro,1.0,14,Euro,1.0,14,Euro,1.0,14,Euro,1.0,14, Euro,1.0,14, the euro,1.0,15, Euro,1.0,14,Euro,1.0,14, Euro,1.0,14,Euro,1.0,14, Euro,1.0,14, Euro,1.0,14, Euro,1.0,14,Euro,1.0,14,Euro,1.0,14, Euro,1.0,14, Euro,1.0,14,Euro,1.0,14, Euro,1.0,14,Euro,1.0,14, Euro,1.0,14,Euro,1.0,14, Euro,1.0,14, Euro,1.0,14,Euro,1.0,14,euro,1.0,14,0.0,
375,id2412,How many games does a football team have to win to be bowl eligible?, 6,0.0,15, 6,0.0,15, 6,0.0,15,6,0.0,15,6,0.0,15,6,0.0,15,6,0.0,15,6,0.0,15, 6,0.0,15, 6 games,0.0,16, 6,0.0,15,6,0.0,15, 6,0.0,15,6,0.0,15, 6,0.0,15, 6,0.0,15, 6,0.0,15,6,0.0,15,6,0.0,15, 6,0.0,15, 6,0.0,15,6,0.0,15, 6,0.0,15,6,0.0,15, 6,0.0,15,6,0.0,15, 6,0.0,15, 6,0.0,15,6,0.0,15,6,0.0,15,0.0,
